pingüino,W-FRIAS
aspersor,W-NEUTRAS
frilura,NW-CALIENTES
helada,W-FRIAS
medicamento,W-NEUTRAS
escarcha,W-FRIAS
japor,NW-CALIENTES
caldera,W-CALIENTES
fogata,W-CALIENTES
feshidratación,NW-CALIENTES
iceberg,W-FRIAS
glaciar,W-FRIAS
telpudo,NW-NEUTRAS
vasija,W-NEUTRAS
flecha,W-NEUTRAS
sauna,W-CALIENTES
eufaliptus,NW-FRIAS
nuez,W-NEUTRAS
lidrio,NW-FRIAS
tapa,W-NEUTRAS
incendio,W-CALIENTES
perilga,NW-NEUTRAS
nevada,W-FRIAS
hivotermia,NW-FRIAS
armario,W-NEUTRAS
invierno,W-FRIAS
jafón,NW-NEUTRAS
trenza,W-NEUTRAS
nevera,W-FRIAS
crastal,NW-FRIAS
desierto,W-CALIENTES
horno,W-CALIENTES
lierre,NW-NEUTRAS
helado,W-FRIAS
murciélago,W-NEUTRAS
desbielo,NW-FRIAS
plancha,W-CALIENTES
insolación,W-CALIENTES
mocina,NW-CALIENTES
extraterrestre,W-NEUTRAS
granizo,W-FRIAS
arror,NW-CALIENTES
fogón,W-CALIENTES
pegua,NW-NEUTRAS
estufa,W-CALIENTES
