erupción,W-CALIENTES
gapa,NW-NEUTRAS
cocina,W-CALIENTES
elástico,W-NEUTRAS
vapor,W-CALIENTES
icaberg,NW-FRIAS
mono,W-NEUTRAS
refresco,W-FRIAS
gelatina,W-FRIAS
extralerrestre,NW-NEUTRAS
pulsera,W-NEUTRAS
devada,NW-FRIAS
eucaliptus,W-FRIAS
buez,NW-NEUTRAS
pescadería,W-FRIAS
deshidratación,W-CALIENTES
esparcha,NW-FRIAS
yegua,W-NEUTRAS
dardo,W-NEUTRAS
brenza,NW-NEUTRAS
radiador,W-CALIENTES
guantes,W-FRIAS
paldera,NW-CALIENTES
fritura,W-CALIENTES
escufa,NW-CALIENTES
ardor,W-CALIENTES
vidrio,W-FRIAS
blecha,NW-NEUTRAS
deshielo,W-FRIAS
fiebre,W-CALIENTES
perilla,W-NEUTRAS
logón,NW-CALIENTES
hipotermia,W-FRIAS
cristal,W-FRIAS
morno,NW-CALIENTES
calentador,W-CALIENTES
frescura,W-FRIAS
pingeino,NW-FRIAS
jabón,W-NEUTRAS
relada,NW-FRIAS
camisa,W-NEUTRAS
chimenea,W-CALIENTES
insopación,NW-CALIENTES
felpudo,W-NEUTRAS
cierre,W-NEUTRAS
